[12:24:38] Id:  1, MsgId:     0, xSensAcc1: 1.245190, xSensAcc2: 0.235147, xSensYaw: -3.139593, rateOfTurn: -4.147959, wheelSp1: %&7f, wheelSp2: -10.651059, wheelSp3: -10.882586, wheelSp4: -11.287805

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -0.230141, xSensAcc2: -0.491051, xSensYaw: 3.077171, rateOfTurn: -3.796874, wheelSp1: %&7f, wheelSp2: -10.303722, wheelSp3: -10.477390, wheelSp4: -10.419509

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -2.222636, xSensAcc2: 0.459759, xSensYaw: 3.023713, rateOfTurn: -3.346161, wheelSp1: %&7f, wheelSp2: -7.177878, wheelSp3: -9.203900, wheelSp4: -7.988291

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -1.287868, xSensAcc2: 0.588817, xSensYaw: 3.002945, rateOfTurn: -3.058871, wheelSp1: %&7f, wheelSp2: -6.541132, wheelSp3: -8.161937, wheelSp4: -7.756741

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -0.296684, xSensAcc2: 0.933290, xSensYaw: 2.966437, rateOfTurn: -2.503407, wheelSp1: %&7f, wheelSp2: -6.483251, wheelSp3: -7.004232, wheelSp4: -6.483251

[12:24:38] Id:  1, MsgId:     0, xSensAcc1: -0.444951, xSensAcc2: -0.241131, xSensYaw: 2.941198, rateOfTurn: -1.935603, wheelSp1: %&7f, wheelSp2: -4.167820, wheelSp3: -5.499192, wheelSp4: -4.341465

