[12:17:46] Id:  1, MsgId:     0, xSensAcc1: -0.202598, xSensAcc2: 0.014727, xSensYaw: -0.071561, rateOfTurn: -0.014028, wheelSp1: %&7f, wheelSp2: -0.636757, wheelSp3: -0.463112, wheelSp4: -0.173680

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.384089, xSensAcc2: -0.445556, xSensYaw: -0.073889, rateOfTurn: -0.057963, wheelSp1: %&7f, wheelSp2: -0.636757, wheelSp3: -0.520994, wheelSp4: -0.752520

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: -0.277406, xSensAcc2: -0.421109, xSensYaw: -0.078732, rateOfTurn: -0.152935, wheelSp1: %&7f, wheelSp2: -0.578875, wheelSp3: -0.405207, wheelSp4: -0.694639

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.433333, xSensAcc2: 0.157591, xSensYaw: -0.082224, rateOfTurn: -0.176707, wheelSp1: %&7f, wheelSp2: -0.115775, wheelSp3: -0.636757, wheelSp4: -0.578875

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: -0.272144, xSensAcc2: -0.397081, xSensYaw: -0.082946, rateOfTurn: -0.165531, wheelSp1: %&7f, wheelSp2: -0.231562, wheelSp3: -0.231562, wheelSp4: -0.231562

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.211189, xSensAcc2: -0.221108, xSensYaw: -0.082387, rateOfTurn: -0.092050, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.130094, xSensAcc2: -0.141619, xSensYaw: -0.080385, rateOfTurn: 0.025507, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.115775, wheelSp4: -0.173680

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.105600, xSensAcc2: -0.173890, xSensYaw: -0.080804, rateOfTurn: 0.007951, wheelSp1: %&7f, wheelSp2: -0.057893, wheelSp3: -0.115775, wheelSp4: -0.057893

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.148348, xSensAcc2: -0.120339, xSensYaw: -0.073679, rateOfTurn: -0.003015, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: -0.000012, wheelSp4: -0.000012

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.093679, xSensAcc2: -0.130374, xSensYaw: -0.073004, rateOfTurn: 0.014331, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: 0.115752

[12:17:46] Id:  1, MsgId:     0, xSensAcc1: 0.068487, xSensAcc2: -0.142271, xSensYaw: -0.072911, rateOfTurn: 0.022014, wheelSp1: %&7f, wheelSp2: -0.000012, wheelSp3: 0.057870, wheelSp4: -0.000012

